Relevant Job Roles,"Knowledge, Skills, Abilities",Test,time(min),Test Type,Remote Testing,Adaptive/IRT Support
"Accounts Receivable Specialist, Bill and Account Collectors, Bookkeeping, Accounting, and Auditing Clerks, Statement Clerks, Billing, Cost, and Rate Clerks, Collection Agent","Invoice processing, Cheque and cash receipts ,Ageing report, vendor registrations",Accounts Receivable Simulation,8,simulations,Yes,No
"General and Operations Manager, Business Manager,
Management Analyst","Capacity planning and Layout planning,
Process selection,
 Project planning and resources planning,
 Basics of quality management,
 Acceptance sampling,
Operating characteristic curve,
 Control charts and statistical quality control,
 Logistics, warehousing and inventory management,
 Product design and development,
 Sourcing and purchasing",Operations Management,10,Knowledge and Skills,Yes,No
".Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer","MVC architecture , MVC life cycle , Inversion of control and dependency injection , Folder structure , Controllers actions and filters , Coupled and de-coupled classes ,Data models and model binding ,Views, partial views, and razors ,MVC scaffolding and HTML helpers ,Route table formation ,Caching and sessions ,Validations and exception handling , Authentication, authorization, and anti forgery token",.NET MVC,8,Knowledge and Skills,Yes,No
"Programmers, Application Developers",Application Development ? Application Foundations ? Data Modelling ? Deployment ? Diagnostics ? Performance ? Portability ? Security,.NET Framework 4.5,30,Knowledge and Skills,Yes,No
".Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer","Model View Communication
• WPF data bindings
• Events
• Validations",.NET MVVM,5,Knowledge and Skills,Yes,No
".Net Developer - WCF, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer","• Language fundamentals, control statements and methods • Object-oriented programming and exception handling • Collections • Services and contracts • Messages, channels, behaviors • Message logging, hosting • Addresses and bindings • Clients and reliable sessions • Transactions, transfer modes, and security",.NET WCF,11,Knowledge and Skills,Yes,No
".Net WPF Developer, Software Developer - WPF, Software Engineer, Application Developer, Technical Architect, Full Stack Developer","• Language fundamentals, control statements and methods • Object-oriented programming and exception handling • Collections • Application and user interface • XAML and its layout elements and events • Working with WPF controls, styles, triggers and control templates • Working with WPF windows and menus • Working with multimedia, graphics and animations • Data binding, commands and MVVM • Deploying WPF applications",.NET WPF,9,Knowledge and Skills,Yes,No
"Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer",• Namespaces • Extensions and tags • Resources • Layouts • Controls • Event handlers • Triggers,.NET XAML,5,Knowledge and Skills,Yes,No
"Accounts Payable Specialist, Bookkeeping, Accounting, and Auditing Clerk, Statement Clerk, Billing, Cost, and Rate Clerks",• Accounts payable end-to-end process • AP vendor master • Accounting principles • AP invoice processing • AP payment processing • Claims management,Accounts Payable,9,Knowledge and Skills,Yes,No
"Accounts Payable Specialist, Bookkeeping, Accounting, and Auditing Clerk, Statement Clerk, Billing, Cost, and Rate Clerks",• Purchase orders • Invoices and claims • Expense vouchers,Accounts Payable Simulation,8,simulations,yes,No
"Accounts Receivable Specialist, Bill and Account Collectors, Bookkeeping, Accounting, and Auditing Clerks, Statement Clerks, Billing, Cost, and Rate Clerks, Collection Agent",• Credit management • OTC end-to-end cycle • Cash applications • Collections • Deductions • Journal entries • Billing and order management • Master data management,Accounts Receivable,13,Knowledge and Skills,Yes,No
".Net Developer, Software Developer, Software Engineer, Application Developer, Technical Architect, Full Stack Developer",• Architecture and object model • Components • Data binding • Data manipulation • XML,ADO.NET,10,Knowledge and Skills,Yes,No
"Technical Support Engineer, AEM Consultant, AEM Architect, AEM Developer, AEM System Administrator",• AEM installation and configuration • AEM components and templates • AEM workflow • AEM link checker • AEM query builder • AEM collections • OSGI services • Client libraries • Troubleshooting AEM projects,Adobe Experience Manager,17,Knowledge and Skills,Yes,No
"Web Application Designer, Graphics Designer",3D ? Color ? File Management ? Interface ? Layers ? Painting and Drawing ? Retouch and Enhancements ? Selection ? Text ? Web,Adobe Photoshop CC,20,Knowledge and Skills,Yes,No
"Aeronautical Engineer, Aviation Inspectors, Aerospace Stress Engineer, Flight Test Engineer",• Fundamentals of fluid mechanics • Airfoil and wing theory • Compressible and viscous flows • Flight vehicle structures • Stress and strain analysis of aircraft structures • Structural dynamics • Aircraft performance • Aircraft static stability • Aircraft dynamic stability and response • Thermodynamics of aircraft engines • Rigid body dynamics • Satellite operations,Aeronautical Engineering,10,Knowledge and Skills,Yes,No
"Aerospace Engineer, Aerospace Engineering and Operations Technician, Avionics Engineer, Flight Test Engineer, Flight Controls Engineer","• Aero engine design • Compressible and finite wing aerodynamics • Vibrations and elements of aeroelasticity • Aerospace structural mechanics • Aero-fluid mechanics • Basics of aircraft systems • Aircraft control systems and instrumentation • Aircraft propulsion and gas turbine engines • Aircraft structural analysis and design • Aircraft performance, stability and control • Flight dynamics • Space dynamics • Avionics • Aircraft maintenance and airworthiness",Aerospace Engineering,10,Knowledge and Skills,Yes,No
"AWS Architect, Application Architect: AWS Cloud Migration, AWS Reliability Engineer, DevOps Engineer AWS","• Resource groups • Multi-availability and multi-region architectures • Scaling architectures • Infrastructure configuration and automation • Data availability • Auto Scaling and route 53 • Instances and lambda • Lifecycle events, applications and auto-healing • CloudWatch log processing and log filters • Implementing identity and access management • Security controls • Delegation and federation • Console multi-account access",Amazon Web Services (AWS) Development,6,Knowledge and Skills,Yes,No
"Android Developer, Software Engineer Mobile - Android",• Android and its resources • User interface • Animation and media apps • Activities & intents • Data storage • Services and alerts • IPC and broadcast receivers • Communication • Maps and location • Security and networking • Testing,Android Development,7,Knowledge and Skills,Yes,No
"Angular6 Developer, Front End Developer - Angular6, Full Stack Developer - Angular6, Web Designer - Angular6, UI Developer - Angular6","• Angular basics • TypeScript and Angular CLI • Data binding • Components and modules • Services and dependency injection • Templates, forms, and error handling • Routing and navigation • Pipes • Promises • Testing",Angular 6,11,Knowledge and Skills,Yes,No
"AngularJS Developer, Software Engineer - AngularJS, Front End Developer - AngularJS, UI Developer - AngularJS","• Angular basics • Directives • Forms • Controller, scope and view • Filters • Routing • Services • Testing",AngularJS,9,Knowledge and Skills,Yes,No
"Hadoop Developer, Big Data Engineer, Hadoop Administrator",• Hadoop Basics • Hadoop File Distribution System (HDFS) • MapReduce Framework,Apache Hadoop,7,Knowledge and Skills,Yes,No
"Hadoop Developer, Big Data Engineer, Hadoop Administrator","• Introduction to HBase • HBase configuration and administration • Available HBase clients • HBase client API basics • HBase and MapReduce integration • Hive datatypes • Joins, views and indexes • Hive query language • Partitioning • Pig configuration • Built-in functions in PigLatin • Built-in operators in PigLatin",Apache Hadoop Extensions,9,Knowledge and Skills,Yes,No
"Hadoop Developer, Hadoop Administrator, Big Data Engineer",• Introduction to HBase • HBase configuration and administration • HBase client API basics • Available HBase clients • HBase and MapReduce integration,Apache HBase,5,Knowledge and Skills,Yes,No
"Data Engineer, Data Scientist",• Fundamentals of Hive • Architecture • Built-in functions and operators • Queries • Partitioning and bucketing,Apache Hive,5,Knowledge and Skills,Yes,No
"Big Data Developer, Big Data Engineer - Kafka, Kafka Developer, Software Engineer","• Kafka architecture and installation • Kafka components • Kafka cluster • Kafka operations • Mirroring and replication • Integration with Apache Hadoop, Spark and Storm • Monitoring and performance tuning",Apache Kafka,6,Knowledge and Skills,Yes,No
